,Image ID,Cross section DF [nm^2],Mean per image,Confidence score,Average [nm^2],Standard Deviation [nm^2],Number Counted,Standard Error of Mean [nm^2],Number Density [nm^-2]
642,0,181.1,,0.494,,,,,
643,0,188.5,,0.491,,,,,
644,0,206.9,,0.49,,,,,
645,0,212.3,,0.488,,,,,
646,0,208.6,,0.487,,,,,
647,0,163.1,,0.486,,,,,
648,0,192.7,,0.484,,,,,
649,0,196.6,,0.483,,,,,
650,0,217.4,,0.483,,,,,
651,0,253.4,,0.48,,,,,
652,0,172.7,,0.48,,,,,
653,0,203.7,,0.479,,,,,
654,0,142.4,,0.478,,,,,
655,0,173.9,,0.477,,,,,
656,0,172.5,,0.476,,,,,
657,0,207.5,,0.475,,,,,
658,0,165.1,,0.475,,,,,
659,0,131.8,,0.475,,,,,
660,0,133.6,,0.475,,,,,
661,0,146.1,,0.474,,,,,
662,0,124.5,,0.474,,,,,
663,0,193.3,,0.474,,,,,
664,0,174.8,,0.473,,,,,
665,0,191.6,,0.471,,,,,
666,0,212.8,,0.471,,,,,
667,0,134.3,,0.469,,,,,
668,0,157.5,,0.467,,,,,
669,0,151.8,,0.467,,,,,
670,0,126.7,,0.466,,,,,
671,0,152.1,,0.465,,,,,
672,0,662.2,,0.465,,,,,
673,0,176.0,,0.463,,,,,
674,0,183.8,,0.463,,,,,
675,0,152.0,,0.459,,,,,
676,0,1365.6,,0.458,,,,,
677,0,146.7,,0.458,,,,,
678,0,185.9,,0.458,,,,,
679,0,140.0,,0.456,,,,,
680,0,496.8,,0.456,,,,,
681,0,136.1,,0.456,,,,,
682,0,185.3,,0.456,,,,,
683,0,159.6,,0.455,,,,,
684,0,177.1,,0.454,,,,,
685,0,208.1,,0.453,,,,,
686,0,149.4,,0.452,,,,,
687,0,184.8,,0.451,,,,,
688,0,179.6,,0.45,,,,,
689,0,116.5,,0.45,,,,,
690,0,352.1,,0.447,,,,,
691,0,152.3,,0.446,,,,,
692,0,155.4,,0.445,,,,,
693,0,623.0,,0.443,,,,,
694,0,161.1,,0.443,,,,,
695,0,264.6,,0.442,,,,,
696,0,220.6,,0.442,,,,,
697,0,109.7,,0.441,,,,,
698,0,465.0,,0.441,,,,,
699,0,160.3,,0.44,,,,,
700,0,159.4,,0.44,,,,,
701,0,143.0,,0.44,,,,,
702,0,110.7,,0.439,,,,,
703,0,140.4,,0.435,,,,,
704,0,104.2,,0.435,,,,,
705,0,108.8,,0.433,,,,,
706,0,113.0,,0.433,,,,,
707,0,104.6,,0.43,,,,,
708,0,182.6,,0.429,,,,,
709,0,188.8,,0.428,,,,,
710,0,157.0,,0.428,,,,,
711,0,122.6,,0.427,,,,,
712,0,179.9,,0.425,,,,,
713,0,145.3,,0.423,,,,,
714,0,142.6,,0.421,,,,,
715,0,216.4,,0.421,,,,,
716,0,405.9,,0.421,,,,,
717,0,399.5,,0.417,,,,,
718,0,162.6,,0.415,,,,,
719,0,155.6,,0.413,,,,,
720,0,214.5,,0.412,,,,,
721,0,988.5,,0.412,,,,,
722,0,158.2,,0.412,,,,,
723,0,142.5,,0.411,,,,,
724,0,555.6,,0.41,,,,,
725,0,140.6,,0.41,,,,,
726,0,159.1,,0.406,,,,,
727,0,164.6,,0.405,,,,,
728,0,396.2,,0.404,,,,,
729,0,152.1,,0.403,,,,,
730,0,180.9,,0.403,,,,,
731,0,317.8,,0.401,,,,,
732,0,429.0,,0.4,,,,,
733,0,164.2,,0.399,,,,,
734,0,127.7,,0.396,,,,,
735,0,177.4,,0.396,,,,,
736,0,144.7,,0.395,,,,,
737,0,148.3,,0.392,,,,,
738,0,151.2,,0.389,,,,,
739,0,150.5,,0.389,,,,,
740,0,157.7,,0.388,,,,,
741,0,136.5,,0.384,,,,,
742,0,97.1,,0.383,,,,,
743,0,139.8,,0.383,,,,,
744,0,167.7,,0.381,,,,,
745,0,169.8,,0.379,,,,,
746,0,121.1,,0.377,,,,,
747,0,171.7,,0.377,,,,,
